"DSQ128P.Code.or.Value","DSQ128P.Value.Description","DSQ128P.Count","DSQ128P.Cumulative","DSQ128P.Skip.to.Item"
"25","TO GET MORE ENERGY",911,911,NA
".","Missing",8648,9559,NA
