"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 95","Range of Values",2590,2590,NA
"666","No response",149,2739,NA
"888","Could not obtain",138,2877,NA
".","Missing",254,3131,NA
