"LBDTHGLC.Code.or.Value","LBDTHGLC.Value.Description","LBDTHGLC.Count","LBDTHGLC.Cumulative","LBDTHGLC.Skip.to.Item"
"0","At or above the detection limit",7358,7358,NA
"1","Below lower detection limit",562,7920,NA
".","Missing",1036,8956,NA
