"URDPPXLC.Code.or.Value","URDPPXLC.Value.Description","URDPPXLC.Count","URDPPXLC.Cumulative","URDPPXLC.Skip.to.Item"
"0","detectable result",10,10,NA
"1","below detectable limit",2984,2994,NA
".","Missing",158,3152,NA
