"DR1IP184.Code.or.Value","DR1IP184.Value.Description","DR1IP184.Count","DR1IP184.Cumulative","DR1IP184.Skip.to.Item"
"0 to 0.534","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
