"SIALANG.Code.or.Value","SIALANG.Value.Description","SIALANG.Count","SIALANG.Cumulative","SIALANG.Skip.to.Item"
"1","English",8584,8584,NA
"2","Spanish",1387,9971,NA
".","Missing",0,9971,NA
