"PFQ061A.Code.or.Value","PFQ061A.Value.Description","PFQ061A.Count","PFQ061A.Cumulative","PFQ061A.Skip.to.Item"
"1","No difficulty",2349,2349,NA
"2","Some difficulty",218,2567,NA
"3","Much difficulty",58,2625,NA
"4","Unable to do",64,2689,NA
"5","Do not do this activity",182,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
