"CIQP70.Code.or.Value","CIQP70.Value.Description","CIQP70.Count","CIQP70.Cumulative","CIQP70.Skip.to.Item"
"0 to 365","Range of Values",35,35,NA
"777","Refused",0,35,NA
"999","Don't know",0,35,NA
".","Missing",815,850,NA
