"DXXL2BMD.Code.or.Value","DXXL2BMD.Value.Description","DXXL2BMD.Count","DXXL2BMD.Cumulative","DXXL2BMD.Skip.to.Item"
"0.371 to 1.791","Range of Values",6650,6650,NA
".","Missing",1535,8185,NA
