"URXMU1.Code.or.Value","URXMU1.Value.Description","URXMU1.Count","URXMU1.Cumulative","URXMU1.Skip.to.Item"
"0.41 to 2200","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
