"PHAANTMN.Code.or.Value","PHAANTMN.Value.Description","PHAANTMN.Count","PHAANTMN.Cumulative","PHAANTMN.Skip.to.Item"
"5 to 53","Range of Values",23,23,NA
".","Missing",8933,8956,NA
