"LBXVIA.Code.or.Value","LBXVIA.Value.Description","LBXVIA.Count","LBXVIA.Cumulative","LBXVIA.Skip.to.Item"
"8.6 to 251","Range of Values",7254,7254,NA
".","Missing",832,8086,NA
