"LBDF01LC.Code.or.Value","LBDF01LC.Value.Description","LBDF01LC.Count","LBDF01LC.Cumulative","LBDF01LC.Skip.to.Item"
"0","At or above the detection limit",19,19,NA
"1","Below lower detection limit",227,246,NA
".","Missing",1,247,NA
