"WTINT2YR.Code.or.Value","WTINT2YR.Value.Description","WTINT2YR.Count","WTINT2YR.Cumulative","WTINT2YR.Skip.to.Item"
"1492.093618 to 201188.12151","Range of Values",11039,11039,NA
".","Missing",0,11039,NA
