"BPQ040A.Code.or.Value","BPQ040A.Value.Description","BPQ040A.Count","BPQ040A.Cumulative","BPQ040A.Skip.to.Item"
"1","Yes",1328,1328,""
"2","No",292,1620,"BPQ055"
"7","Refused",0,1620,"BPQ055"
"9","Don't know",5,1625,"BPQ055"
".","Missing",4514,6139,""
