"DIQ080.Code.or.Value","DIQ080.Value.Description","DIQ080.Count","DIQ080.Cumulative","DIQ080.Skip.to.Item"
"1","Yes",120,120,NA
"2","No",421,541,NA
"7","Refused",0,541,NA
"9","Don't know",4,545,NA
".","Missing",9100,9645,NA
