"RFXT079.Code.or.Value","RFXT079.Value.Description","RFXT079.Count","RFXT079.Cumulative","RFXT079.Skip.to.Item"
"681 to 690","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
