"OCQ430.Code.or.Value","OCQ430.Value.Description","OCQ430.Count","OCQ430.Cumulative","OCQ430.Skip.to.Item"
"1","Yes",727,727,""
"2","No",278,1005,"OCQ460"
"7","Refused",0,1005,"OCQ460"
"9","Don't know",2,1007,"OCQ460"
".","Missing",5627,6634,""
