"DS2IVD.Code.or.Value","DS2IVD.Value.Description","DS2IVD.Count","DS2IVD.Cumulative","DS2IVD.Skip.to.Item"
"0.01 to 2500","Range of Values",2215,2215,NA
".","Missing",3383,5598,NA
