"OHQ680.Code.or.Value","OHQ680.Value.Description","OHQ680.Count","OHQ680.Cumulative","OHQ680.Skip.to.Item"
"1","Very often",234,234,NA
"2","Fairly often",137,371,NA
"3","Occasionally",384,755,NA
"4","Hardly ever, or",390,1145,NA
"5","Never?",5060,6205,NA
"7","Refused",1,6206,NA
"9","Don't know",7,6213,NA
".","Missing",3091,9304,NA
