"LBXVMCP.Code.or.Value","LBXVMCP.Value.Description","LBXVMCP.Count","LBXVMCP.Cumulative","LBXVMCP.Skip.to.Item"
"0.0141 to 15.8","Range of Values",3135,3135,NA
".","Missing",312,3447,NA
