"DBD910.Code.or.Value","DBD910.Value.Description","DBD910.Count","DBD910.Cumulative","DBD910.Skip.to.Item"
"1 to 90","Range of Values",3906,3906,NA
"0","Never",5556,9462,NA
"6666","More than 90 times in 30 days",8,9470,NA
"7777","Refused",1,9471,NA
"9999","Don't know",11,9482,NA
".","Missing",489,9971,NA
