"LBDSZNSI.Code.or.Value","LBDSZNSI.Value.Description","LBDSZNSI.Count","LBDSZNSI.Cumulative","LBDSZNSI.Skip.to.Item"
"5.95 to 24.62","Range of Values",2519,2519,NA
".","Missing",236,2755,NA
