"AIALANG.Code.or.Value","AIALANG.Value.Description","AIALANG.Count","AIALANG.Cumulative","AIALANG.Skip.to.Item"
"1","English",4334,4334,NA
"2","Spanish",375,4709,NA
".","Missing",5413,10122,NA
