"WBXA019.Code.or.Value","WBXA019.Value.Description","WBXA019.Count","WBXA019.Cumulative","WBXA019.Skip.to.Item"
"-13.0628 to 0.9994","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
