"DR2IVC.Code.or.Value","DR2IVC.Value.Description","DR2IVC.Count","DR2IVC.Cumulative","DR2IVC.Skip.to.Item"
"0 to 1047.8","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
