"OSQ040cc.Code.or.Value","OSQ040cc.Value.Description","OSQ040cc.Count","OSQ040cc.Cumulative","OSQ040cc.Skip.to.Item"
"1","Under 50 years old, or",5,5,"OSQ025"
"2","50 years old or older?",1,6,""
"7","Refused",0,6,"OSQ025"
"9","Don't know",0,6,"OSQ025"
".","Missing",4973,4979,""
