"DSQTCARB.Code.or.Value","DSQTCARB.Value.Description","DSQTCARB.Count","DSQTCARB.Cumulative","DSQTCARB.Skip.to.Item"
"0.002 to 42","Range of Values",1530,1530,NA
".","Missing",7724,9254,NA
