"DR2TCHOL.Code.or.Value","DR2TCHOL.Value.Description","DR2TCHOL.Count","DR2TCHOL.Cumulative","DR2TCHOL.Skip.to.Item"
"0 to 3428","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
