"HIQ031E.Code.or.Value","HIQ031E.Value.Description","HIQ031E.Count","HIQ031E.Cumulative","HIQ031E.Skip.to.Item"
"18","Covered by CHIP",93,93,NA
".","Missing",9161,9254,NA
