"PUD034.Code.or.Value","PUD034.Value.Description","PUD034.Count","PUD034.Cumulative","PUD034.Skip.to.Item"
"1","One time only",711,711,NA
"2","Two or more times",67,778,NA
".","Missing",10261,11039,NA
