"URXMNP.Code.or.Value","URXMNP.Value.Description","URXMNP.Count","URXMNP.Cumulative","URXMNP.Skip.to.Item"
"0.8712 to 214.83","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
