"SXD450.Code.or.Value","SXD450.Value.Description","SXD450.Count","SXD450.Cumulative","SXD450.Skip.to.Item"
"0 to 25","Range of Values",1857,1857,NA
"77777","Refused",2,1859,NA
"99999","Don't know",0,1859,NA
".","Missing",3443,5302,NA
