"DSQTSUGR.Code.or.Value","DSQTSUGR.Value.Description","DSQTSUGR.Count","DSQTSUGR.Cumulative","DSQTSUGR.Skip.to.Item"
"0.02 to 18","Range of Values",1206,1206,NA
".","Missing",8550,9756,NA
