"AUDTYR43.Code.or.Value","AUDTYR43.Value.Description","AUDTYR43.Count","AUDTYR43.Cumulative","AUDTYR43.Skip.to.Item"
"0 to 3.81","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
