"AUXU1K2L.Code.or.Value","AUXU1K2L.Value.Description","AUXU1K2L.Count","AUXU1K2L.Cumulative","AUXU1K2L.Skip.to.Item"
"-10 to 80","Range of Values",1139,1139,NA
"666","No response",0,1139,NA
"888","Could not obtain",4,1143,NA
".","Missing",67,1210,NA
