"DXXL3A.Code.or.Value","DXXL3A.Value.Description","DXXL3A.Count","DXXL3A.Cumulative","DXXL3A.Skip.to.Item"
"7.41 to 23.48","Range of Values",6176,6176,NA
".","Missing",1544,7720,NA
