"DS2TCAFF.Code.or.Value","DS2TCAFF.Value.Description","DS2TCAFF.Count","DS2TCAFF.Cumulative","DS2TCAFF.Skip.to.Item"
"50 to 246","Range of Values",15,15,NA
".","Missing",9529,9544,NA
