"LBXPLP.Code.or.Value","LBXPLP.Value.Description","LBXPLP.Count","LBXPLP.Cumulative","LBXPLP.Skip.to.Item"
"3.4 to 1320","Range of Values",8431,8431,NA
".","Missing",1404,9835,NA
