"OPDDSUBH.Code.or.Value","OPDDSUBH.Value.Description","OPDDSUBH.Count","OPDDSUBH.Cumulative","OPDDSUBH.Skip.to.Item"
"0","No",3111,3111,NA
"1","Yes",4,3115,NA
".","Missing",748,3863,NA
