"DS2TLZ.Code.or.Value","DS2TLZ.Value.Description","DS2TLZ.Count","DS2TLZ.Cumulative","DS2TLZ.Skip.to.Item"
"5 to 95475","Range of Values",392,392,NA
".","Missing",8946,9338,NA
