"RHQ568Q.Code.or.Value","RHQ568Q.Value.Description","RHQ568Q.Count","RHQ568Q.Cumulative","RHQ568Q.Skip.to.Item"
"1 to 30","Range of Values",98,98,NA
"77","Refused",0,98,NA
"99","Don't know",1,99,NA
".","Missing",3418,3517,NA
