"HSQ590.Code.or.Value","HSQ590.Value.Description","HSQ590.Count","HSQ590.Cumulative","HSQ590.Skip.to.Item"
"1","Yes",2083,2083,NA
"2","No",3642,5725,NA
"7","Refused",0,5725,NA
"9","Don't know",215,5940,NA
".","Missing",3895,9835,NA
