"DXDTOPF.Code.or.Value","DXDTOPF.Value.Description","DXDTOPF.Count","DXDTOPF.Cumulative","DXDTOPF.Skip.to.Item"
"12.7 to 54.8","Range of Values",5056,5056,NA
".","Missing",977,6033,NA
