"ARQ022AF.Code.or.Value","ARQ022AF.Value.Description","ARQ022AF.Count","ARQ022AF.Cumulative","ARQ022AF.Skip.to.Item"
"1","Yes",212,212,"ARQ024f"
"2","No",33,245,""
"7","Refused",0,245,""
"9","Don't know",0,245,""
".","Missing",4861,5106,""
