"ENXTR4G.Code.or.Value","ENXTR4G.Value.Description","ENXTR4G.Count","ENXTR4G.Cumulative","ENXTR4G.Skip.to.Item"
"1","Acceptable measurement",133,133,NA
"2","Could Not Obtain",5,138,NA
"3","< 5 ppb",3,141,NA
"4","> 300 ppb",1,142,NA
".","Missing",8053,8195,NA
