"AUXU4KL.Code.or.Value","AUXU4KL.Value.Description","AUXU4KL.Count","AUXU4KL.Cumulative","AUXU4KL.Skip.to.Item"
"-10 to 120","Range of Values",3843,3843,NA
"666","No response",4,3847,NA
"888","Could not obtain",17,3864,NA
".","Missing",636,4500,NA
