"RHQ460Q.Code.or.Value","RHQ460Q.Value.Description","RHQ460Q.Count","RHQ460Q.Cumulative","RHQ460Q.Skip.to.Item"
"1 to 42","Range of Values",1650,1650,NA
"77","Refused",0,1650,NA
"99","Don't know",8,1658,NA
".","Missing",2207,3865,NA
