"DTQ080U.Code.or.Value","DTQ080U.Value.Description","DTQ080U.Count","DTQ080U.Cumulative","DTQ080U.Skip.to.Item"
"1","Day",2790,2790,NA
"2","Week",2135,4925,NA
"3","Month",2333,7258,NA
"7","Refused",3,7261,NA
"9","Don't know",7,7268,NA
".","Missing",1273,8541,NA
