"WTSPO19.Code.or.Value","WTSPO19.Value.Description","WTSPO19.Count","WTSPO19.Cumulative","WTSPO19.Skip.to.Item"
"0.0000000 to 843952.9647700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
