"DR2IFDFE.Code.or.Value","DR2IFDFE.Value.Description","DR2IFDFE.Count","DR2IFDFE.Cumulative","DR2IFDFE.Skip.to.Item"
"0 to 5302","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
