"DS2IVK.Code.or.Value","DS2IVK.Value.Description","DS2IVK.Count","DS2IVK.Cumulative","DS2IVK.Skip.to.Item"
"0.6 to 550","Range of Values",800,800,NA
".","Missing",4798,5598,NA
