"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"5 to 546","Range of Values",2544,2544,NA
".","Missing",61,2605,NA
