"WBXA098.Code.or.Value","WBXA098.Value.Description","WBXA098.Count","WBXA098.Cumulative","WBXA098.Skip.to.Item"
"-99.42 to 0.9989","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
