"WTSPH05.Code.or.Value","WTSPH05.Value.Description","WTSPH05.Count","WTSPH05.Cumulative","WTSPH05.Skip.to.Item"
"0 to 780507.40019","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
