"URXVOL1.Code.or.Value","URXVOL1.Value.Description","URXVOL1.Count","URXVOL1.Cumulative","URXVOL1.Skip.to.Item"
"0 to 524","Range of Values",8433,8433,NA
".","Missing",158,8591,NA
