"LBCBR4LA.Code.or.Value","LBCBR4LA.Value.Description","LBCBR4LA.Count","LBCBR4LA.Cumulative","LBCBR4LA.Skip.to.Item"
"0.09899 to 3.39","Range of Values",251,251,NA
".","Missing",0,251,NA
