"TeloStd.Code.or.Value","TeloStd.Value.Description","TeloStd.Count","TeloStd.Cumulative","TeloStd.Skip.to.Item"
"0.0019335235 to 12.174328148","Range of Values",3567,3567,NA
".","Missing",3,3570,NA
