"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.04 to 6.94","Range of Values",2272,2272,NA
".","Missing",77,2349,NA
