"MCQ160L.Code.or.Value","MCQ160L.Value.Description","MCQ160L.Count","MCQ160L.Cumulative","MCQ160L.Skip.to.Item"
"1","Yes",158,158,"MCQ170L"
"2","No",5241,5399,""
"7","Refused",0,5399,""
"9","Don't know",11,5410,""
".","Missing",5060,10470,""
