"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.06 to 48","Range of Values",7805,7805,NA
"777777","Refused",0,7805,NA
"999999","Don't know",6,7811,NA
".","Missing",155,7966,NA
