"OSQ040be.Code.or.Value","OSQ040be.Value.Description","OSQ040be.Count","OSQ040be.Cumulative","OSQ040be.Skip.to.Item"
"1","Under 50 years old, or",4,4,"OSQ025"
"2","50 years old or older?",0,4,""
"7","Refused",0,4,"OSQ025"
"9","Don't know",0,4,"OSQ025"
".","Missing",5037,5041,""
