"FSD401.Code.or.Value","FSD401.Value.Description","FSD401.Count","FSD401.Cumulative","FSD401.Skip.to.Item"
"1","Often",81,81,NA
"2","Sometimes",476,557,NA
"3","Never",2106,2663,NA
"7","Refused",2,2665,NA
"9","Don't know",18,2683,NA
".","Missing",7665,10348,NA
