"LBXNEPCT.Code.or.Value","LBXNEPCT.Value.Description","LBXNEPCT.Count","LBXNEPCT.Cumulative","LBXNEPCT.Skip.to.Item"
"8.4 to 92.5","Range of Values",8519,8519,NA
".","Missing",903,9422,NA
